,0
DustinPie,4999.99897108
Mael2,100.0
WantToBeLoved,101.0
hiraganime,0.0
Greenfield,500.0
ElectroRRH,0.0
TradingContest,1000.0
davidmilla777,120.89346130999999
Agueleitor,0.0
isoliver26,0.0
SergRami,573.2842593800001
Blanco_11,100.89939804
Rox-contest,201.0
daniel,200.00731778
TommyTL,130.55
AlbaCade,503.61124504
FTXcontest,300.21425021
Contest ,100.0
SantiTradeAlex,0.0
Alfonbass,144.6
DamicaleShilling,1000.0
COMPETITIONFTX,1000.0
Oloap14_Tradingon,200.0
concurso,0.0
EricAguilo,146.74
TorneoEryn,0.0
TradingChallenge,100.0
FabriMe,250.0
javipa96,0.0
Long-Island,0.0
FTXContestDaniele,150.0
LoSvitato,200.0
TorneoErynUm3c,0.0
Ortega,0.0
ftxcontestLG,100.0
Contest-Simone,350.06216946
Contest,104.46509822
vitin,499.2
Galluca,200.0
contest.FTX,500.0
PIERO_TRADING,194.20404706
GARA,500.75633634
contest,0.0
spread,501.16049248
VVG,0.0
ZeRoRz,100.0
awakening100_competition,217.40990238
Ga_193,500.0
T-ON-2022,229.34039822
competition,192.1057128
Anto,500.00000001
FTXTrading,100.0
AlessioCompe,101.68026033
lino69,1000.0
mircot80,109.70174155
Trading,101.0
GingFreecss,100.0
DANIELEMARTINI,1000.0
FtxContest,200.80878514
CompetitionFTX,824.11024108
fabrip,110.0
EM_Contest2022,500.0
josero,0.0
Satoshi_Nakamoto,150.0
Henk,100.0
ftxcontest102022,101.0
ShowMeTheMoney,100.0
holden27,200.0
FTX-Contest2022,2081.74
CarloTradingFTX,1000.00471969
TradstatF,200.0
Tanen73,110.0
competitionftx,199.32884334000002
Paolo76,109.00000001
CONTEST2022,500.0
Contest2022,500.0
trade24-10-22,300.0
Contest22,100.0
Lixef,100.0
RayBonacci,200.0
SirFelix,0.0
Secundaria,0.0
Tc22,0.0
TZUNAMI,1984.2184874299999
RoBit,0.0
FtxContest2022,100.0
ftxcontest,100.0
Olgui2,0.0
Leg92,126.87026288
filowallbaby,133.7754
Andrea_twice,102.789632
CONTEST,200.0
Narcos11,5042.54876014
FtxTradingContest2022,100.0
trading,122.85
JordanBelfortTradingon,146.40993737
Henk,99.0
2,500.0
FTXTradingContest2022,351.55786494
Ajeje,101.228271
SergioGutierrez,972.0
EFUCOSICHE,200.0
FTT,95.22283858
INTORTATORE,101.56042822
Watson,100.0
ftxcontest22,100.0